Id,Label,timeset,eigencentrality,modularity_class,Degree
89,"REFSDAL, S",,0.035121,0,42
90,"SCHRAMM, T",,0.001513,0,4
91,"SHI, X",,0.002233,0,8
92,"BODO, G",,0.013126,0,15
93,"GHISELLINI, G",,0.383716,0,151
94,"ADAMS, F",,0.000217,0,1
95,"WATKINS, R",,0.00377,0,8
96,"BRANDENBERGER, R",,0.00558,0,27
97,"DAVIS, A",,0.002156,0,8
98,"REES, MJ",,0.039073,0,31
99,"UEDA, H",,0.000307,0,1
100,"YOKOYAMA, J",,0.006375,0,21
101,"VOROBEV, P",,0.000135,0,1
102,"KOLOKOLOV, I",,0.000135,0,1
103,"DANESE, L",,0.101823,0,84
104,"TOFFOLATTI, L",,0.021335,0,36
105,"FRANCESCHINI, A",,0.127908,0,101
106,"MANDOLESI, MBN",,0.004594,0,3
107,"LYTH, DH",,0.00525,0,21
108,"WOSZCZYNA, A",,0.000564,0,3
109,"KOSOWSKY, A",,0.003961,0,7
110,"CAROLLO, M",,0.00578,0,9
111,"ZEEUW, TD",,0.004575,0,8
112,"MAREL, RVD",,0.004101,0,6
113,"DANZIGER, J",,0.1809,0,41
114,"QIAN, E",,0.003008,0,4
115,"JAIN, B",,0.014761,0,29
116,"MO, HJ",,0.006297,0,10
117,"WHITE, SDM",,0.075765,0,94
118,"KATZ, J",,0.000822,0,5
119,"INAGAKI, S",,0.001143,0,6
120,"YAHALOM, A",,0.000331,0,2
121,"FAIZULLIN, R",,0,0,0
122,"BARGE, P",,0.000135,0,1
123,"FR, JSB",,0.000135,0,1
124,"AL, SOE",,0,0,0
125,"BAND, DL",,0.139424,0,79
126,"FORD, LA",,0.017756,0,10
127,"MATTESON, JL",,0.028071,0,22
128,"PACIESAS, WS",,0.14757,0,95
129,"PREECE, RD",,0.216991,0,95
130,"PALMER, DM",,0.032759,0,20
131,"TEEGARDEN, BJ",,0.037216,0,31
132,"SCHAEFER, BE",,0.211165,0,89
133,"KANG, H",,0.011703,0,17
134,"JONES, TW",,0.012355,0,26
135,"CAROLLO, CM",,0.066111,0,49
136,"ZEEUW, PTD",,0.012331,0,28
137,"MAREL, RPVD",,0.011203,0,22
138,"MATSUBARA, T",,0.004081,0,13
139,"SIMMONS, JFL",,0.00162,0,6
140,"NEWSAM, AM",,0.021525,0,27
141,"WILLIS, JP",,0.003805,0,6
142,"CHABOYER, B",,0.004621,0,12
143,"DEMARQUE, P",,0.009008,0,18
144,"PINSONNEAULT, DBGMH",,0.000569,0,2
145,"TULUIE, R",,0.00059,0,2
146,"LAGUNA, P",,0.005927,0,26
147,"HIPPEL, TV",,0.018602,0,18
148,"GILMORE, G",,0.052308,0,66
149,"JONES, DHP",,0.014648,0,11
150,"LAZARIAN, A",,0.001904,0,9
151,"MAMON, GA",,0.027231,0,48
152,"BANCHET, V",,0.002574,0,8
153,"CONTENSOU, GAMM",,0.000199,0,1
154,"STECKER, FW",,0.006037,0,12
155,"SALAMON, MH",,0.002415,0,7
156,"JAGER, OCD",,0.003438,0,11
157,"BOTTINO, A",,0.0038,0,14
158,"KIM, CW",,0.000388,0,2
159,"SONG, J",,0.000388,0,2
160,"RIX, H",,0.046933,0,44
161,"ASTROPHYSIK, MIF",,0.000908,0,1
162,"WALTER, FM",,0.004032,0,11
163,"MATTHEWS, LD",,0.017084,0,20
164,"LINSKY, JL",,0.009045,0,13
165,"JAFFE, AH",,0.054404,0,68
166,"COLLABORATION, TA",,0.065775,0,31
167,"PRICE, PB",,0.000406,0,2
168,"HUDSON, MJ",,0.007096,0,13
169,"DEKEL, A",,0.030338,0,44
170,"COURTEAU, S",,0.012779,0,21
171,"FABER, SM",,0.073315,0,75
172,"WILLICK, JA",,0.009365,0,13
173,"ZACHARIAS, N",,0.001369,0,6
174,"PAOLIS, FD",,0.008064,0,23
175,"INGROSSO, G",,0.008064,0,23
176,"JETZER, P",,0.011392,0,16
177,"QUADIR, A",,0.001371,0,4
178,"RONCADELLI, M",,0.007851,0,22
179,"FAIRBRIDGE, RW",,0.000361,0,2
180,"WINDELIUS, G",,0.000361,0,2
181,"HAUBOLD, HJ",,0.003265,0,11
182,"DAR, A",,0.008859,0,14
183,"SHAVIV, NJ",,0.001634,0,4
184,"SHEMI, A",,0.010537,0,8
185,"BERTOUT, C",,0.001079,0,6
186,"REIPURTH, B",,0.001695,0,7
187,"MALBET, F",,0.002866,0,9
188,"BROWN, JC",,0.000509,0,3
189,"BEEKMAN, G",,0.001621,0,6
190,"GRAY, N",,0.001727,0,7
191,"MACKINNON, AL",,0.000509,0,3
192,"TELLES, E",,0.013073,0,24
193,"TERLEVICH, R",,0.023674,0,40
194,"MCGAUGH, S",,0.005736,0,10
195,"SCHOMBERT, J",,0.001959,0,9
196,"BOTHUN, G",,0.003463,0,6
197,"PARSONS, P",,0.000342,0,1
198,"BARROW, JD",,0.008521,0,22
199,"CHARLOT, S",,0.008467,0,11
200,"NG, K",,0.00083,0,5
201,"SPELIOTOPOULOS, AD",,0.000297,0,2
202,"KROLIK, JH",,0.034507,0,35
203,"KRISS, GA",,0.036591,0,38
204,"MIHOS, C",,0.004508,0,12
205,"ALCOCK, C",,0.368245,0,106
206,"ALLSMAN, RA",,0.361862,0,100
207,"AXELROD, TS",,0.361862,0,100
208,"BENNETT, DP",,0.412238,0,124
209,"COOK, KH",,0.392714,0,114
210,"FREEMAN, KC",,0.448683,0,181
211,"GRIEST, K",,0.399915,0,125
212,"GUERN, JA",,0.136018,0,37
213,"LEHNER, MJ",,0.377274,0,106
214,"MARSHALL, SL",,0.382903,0,105
215,"PARK, HS",,0.151077,0,48
216,"PERLMUTTER, S",,0.265436,0,107
217,"PETERSON, BA",,0.726895,1,215
218,"PRATT, MR",,0.38048,0,103
219,"QUINN, PJ",,0.389189,0,110
220,"RODGERS, AW",,0.353481,0,94
221,"STUBBS, CW",,0.382592,0,106
222,"SUTHERLAND, W",,0.462236,0,173
223,"CRISTIANI, S",,0.043085,0,57
224,"DODORICO, S",,0.042032,0,41
225,"FONTANA, A",,0.039565,0,37
226,"GIALLONGO, E",,0.053462,0,48
227,"SAVAGLIO, S",,0.064177,0,70
228,"PIETRINI, P",,0.001348,0,2
229,"STURNER, SJ",,0.001468,0,1
230,"GREINER, J",,0.498256,0,181
231,"TAVANI, M",,0.420666,0,166
232,"BELLONI, T",,0.229314,0,104
233,"DAVIDGE, TJ",,0.004177,0,8
234,"HARRIS, WE",,0.028923,0,46
235,"SMAIL, I",,0.325526,0,126
236,"HOGG, DW",,0.128167,0,74
237,"BLANDFORD, R",,0.045886,0,54
238,"COHEN, JG",,0.081497,0,73
239,"DJORGOVSKI, ACESG",,0.008928,0,4
240,"D, R",,0.000298,0,2
241,"L, IG",,0.000298,0,2
242,"L, S",,0.00074,0,4
243,"COLBERT, EJM",,0.025967,0,32
244,"PETRE, R",,0.048791,0,64
245,"SCHLEGEL, EM",,0.007897,0,14
246,"RYDER, SD",,0.048524,0,57
247,"MUNSHI, D",,0.00335,0,11
248,"SOURADEEP, T",,0.005173,0,8
249,"STAROBINSKY, AA",,0.011625,0,30
250,"KRAUSS, LM",,0.004983,0,20
251,"ZWAAN, MA",,0.013953,0,19
252,"HULST, JMVD",,0.003506,0,10
253,"BLOK, WJGD",,0.037244,0,40
254,"MCGAUGH, SS",,0.002789,0,8
255,"GOULD, A",,0.150714,0,76
256,"LIPMAN, K",,0.001798,0,4
257,"PETTINI, M",,0.038971,0,51
258,"HUNSTEAD, R",,0.011192,0,19
259,"GRINDER, M",,0.000225,0,1
260,"JAUNSEN, AO",,0.194865,0,104
261,"JABLONSKI, M",,0.021427,0,28
262,"PETTERSEN, BR",,0.021427,0,28
263,"STABELL, R",,0.034641,0,39
264,"BRANDT, WN",,0.176259,0,104
265,"POUNDS, KA",,0.008579,0,7
266,"FINK, H",,0.012359,0,12
267,"YAMAMOTO, K",,0.01121,0,14
268,"SASAKI, M",,0.192325,0,117
269,"TANAKA, T",,0.014132,0,12
270,"SCHOENIGER, F",,0.001627,0,7
271,"GHELLER, C",,0.000877,0,2
272,"MOSCARDINI, L",,0.027003,0,41
273,"PANTANO, O",,0.002578,0,8
274,"GNEDIN, OY",,0.003862,0,8
275,"GOODMAN, J",,0.00362,0,17
276,"FREI, Z",,0.00286,0,5
277,"MERRIFIELD, KKMR",,0,0,0
278,"GAZTANAGA, E",,0.006645,0,19
279,"CROFT, R",,0.00601,0,7
280,"DALTON, G",,0.061756,0,38
281,"WANG, Y",,0.013598,0,29
282,"SCIALOM, D",,0.000762,0,4
283,"KIBBLE, TWB",,0.014109,0,9
284,"VILENKIN, A",,0.00798,0,23
285,"KURKISUONIO, H",,0.001193,0,6
286,"LAINE, M",,0.000798,0,5
287,"MACORRA, ADL",,0.000135,0,1
288,"BLASONE, M",,0.000443,0,3
289,"VITIELLO, G",,0.000443,0,3
290,"SENGUPTA, S",,0.000432,0,3
291,"PAL, PB",,0.000339,0,2
292,"ATHAR, H",,0.000515,0,3
293,"PELTONIEMI, JT",,0.00107,0,5
294,"SMIRNOV, AY",,0.002611,0,11
295,"MELFO, A",,0.00068,0,4
296,"PERIVOLAROPOULOS, L",,0.001446,0,7
297,"LOPEZ, J",,0.000135,0,1
298,"NANOPOULOS, D",,0.000135,0,1
299,"SHIROMIZU, T",,0.014241,0,12
300,"MORIKAWA, M",,0.003734,0,15
301,"MUREIKA, JR",,0.000135,0,1
302,"MANN, RB",,0.000135,0,1
303,"HEISELBERG, H",,0.001602,0,7
304,"JUNGMAN, G",,0.007312,0,4
305,"KAMIONKOWSKI, M",,0.056003,0,79
306,"BOYANOVSKY, D",,0.002527,0,14
307,"BRAHM, DE",,0.000759,0,4
308,"GONZALEZRUIZ, A",,0.000759,0,4
309,"HOLMAN, R",,0.002527,0,14
310,"TAKAKURA, FI",,0.000759,0,4
311,"BUCHER, M",,0.002153,0,8
312,"GOLDHABER, AS",,0.000691,0,4
313,"TUROK, N",,0.002501,0,12
314,"BANKS, T",,0.010092,0,6
315,"BERKOOZ, M",,0.000932,0,4
316,"STEINHARDT, PJ",,0.010092,0,20
317,"BRUSTEIN, R",,0.001733,0,9
318,"GASPERINI, M",,0.001491,0,7
319,"GIOVANNINI, M",,0.001088,0,6
320,"MUKHANOV, VF",,0.002797,0,10
321,"VENEZIANO, G",,0.003303,0,14
322,"STROMINGER, A",,0,0,0
323,"LARSEN, AL",,0.00085,0,4
324,"SANCHEZ, N",,0.002097,0,10
325,"COHEN, E",,0.011679,0,6
326,"PIRAN, T",,0.107777,0,64
327,"BUOTE, DA",,0.004765,0,4
328,"TSAI, JC",,0.00035,0,2
329,"SIRLIN, A",,0.001972,0,2
330,"GILBERT, AM",,0.019089,0,17
331,"JOHNSTON, KV",,0.011542,0,15
332,"SPERGEL, DN",,0.028504,0,50
333,"REYNOLDS, CS",,0.047378,0,45
334,"FABIAN, AC",,0.244405,0,156
335,"ALIGHIERI, SDS",,0.028263,0,33
336,"CIMATTI, A",,0.061995,0,56
337,"SURPI, GC",,0.000427,0,2
338,"HARARI, DD",,0.000815,0,4
339,"FRIEMAN, JA",,0.006405,0,13
340,"SCHIAVON, RP",,0.003244,0,6
341,"BATALHA, C",,0.00051,0,2
342,"BARBUY, B",,0.008284,0,18
343,"BERTOLAMI, O",,0.001762,0,8
344,"GARCIABELLIDO, J",,0.004274,0,14
345,"SCOTT, D",,0.047611,0,55
346,"TEGMARK, M",,0.036563,0,67
347,"STEINMETZ, M",,0.022239,0,36
348,"CHEN, X",,0.011563,0,23
349,"ABRAMOWICZ, MA",,0.008421,0,21
350,"LASOTA, J",,0.010913,0,19
351,"YI, I",,0.013407,0,25
352,"COLLESS, M",,0.077133,0,60
353,"HUNSTEAD, MPR",,0.000172,0,1
354,"CAMPOS, A",,0.015412,0,21
355,"YEPES, G",,0.02235,0,34
356,"KLYPIN, A",,0.039666,0,71
357,"MURANTE, G",,0.004414,0,10
358,"PROVENZALE, A",,0.0042,0,10
359,"BORGANI, S",,0.045407,0,78
360,"POGOSYAN, D",,0.003794,0,8
361,"STAROBINSKY, A",,0.001353,0,5
362,"TRIPICCO, MJ",,0.000658,0,2
363,"BELL, RA",,0.02037,0,27
364,"HUFNAGEL, BDB",,0.000658,0,2
365,"PETHICK, CJ",,0.001728,0,9
366,"THORSSON, V",,0.001479,0,7
367,"MATHAI, AM",,0.000361,0,2
368,"COLLINS, CA",,0.105206,0,89
369,"GUZZO, L",,0.081334,0,67
370,"NICHOL, RC",,0.053497,0,61
371,"LUMSDEN, SL",,0.058427,0,40
372,"NELLA, HD",,0.007006,0,19
373,"PATUREL, G",,0.02889,0,52
374,"BROSTROM, L",,0.000443,0,3
375,"MANNERVIK, S",,0.000443,0,3
376,"ROYEN, P",,0.000443,0,3
377,"WANNSTROM, A",,0.000443,0,3
378,"ALEXANDER, T",,0.027665,0,20
379,"RASIO, FA",,0.009696,0,19
380,"STEIGMAN, G",,0.006436,0,21
381,"FELTEN, JE",,0.000517,0,2
382,"KNAPEN, JH",,0.011584,0,30
383,"BECKMAN, JE",,0.014208,0,31
384,"SHLOSMAN, I",,0.021481,0,40
385,"PELETIER, RF",,0.013506,0,39
386,"HELLER, CH",,0.003701,0,11
387,"JONG, RSD",,0.005286,0,16
388,"AL, KGCLBEAAJBE",,0,0,0
389,"GORSKI, KM",,0.039868,0,63
390,"STOMPOR, R",,0.045626,0,51
391,"BANDAY, AJ",,0.023092,0,43
392,"RATRA, B",,0.020555,0,28
393,"IBATA, R",,0.015505,0,16
394,"KERKWIJK, MHV",,0.069212,0,36
395,"KULKARNI, SR",,0.327344,0,142
396,"MATTHEWS, K",,0.073404,0,61
397,"NEUGEBAUER, G",,0.126583,0,56
398,"GRILLMAIR, CJ",,0.078423,0,73
399,"IRWIN, M",,0.126388,0,72
400,"CHAKRABARTI, SK",,0.003879,0,15
401,"YU, JW",,0.000365,0,2
402,"SHAO, M",,0.001128,0,4
403,"GOLDONI, P",,0.026296,0,45
404,"MUSSO, C",,0.001303,0,3
405,"CARAVEO, PA",,0.012593,0,20
406,"BIGNAMI, GF",,0.007467,0,6
407,"MEREGHETTI, S",,0.161135,0,74
408,"HUTCHINGS, JB",,0.0451,0,65
409,"MORRIS, SC",,0.001018,0,1
410,"GUSSIE, G",,0.001632,0,4
411,"TASMANIA, UO",,0.00017,0,1
412,"KING, DL",,0.022242,0,9
413,"SMITH, LJ",,0.004334,0,8
414,"HUNSTEAD, RW",,0.013208,0,33
415,"PINO, EMDGD",,0.002641,0,12
416,"HETEM, A",,0.001249,0,5
417,"HORVATH, JE",,0.004356,0,20
418,"SOUZA, CAWD",,0.001249,0,5
419,"VILLELA, T",,0.009813,0,28
420,"ARAUJO, JCND",,0.00209,0,10
421,"FOGLIZZO, T",,0.003144,0,11
422,"TAGGER, M",,0.005745,0,13
423,"JIMENEZ, R",,0.024988,0,37
424,"JORGENSEN, UG",,0.003203,0,13
425,"THEJLL, P",,0.001379,0,5
426,"MACDONALD, J",,0.002312,0,10
427,"DUBINSKI, KKJ",,0,0,0
428,"LARSEN, GB",,0.000154,0,1
429,"MADSEN, J",,0.000605,0,4
430,"MATHEWS, WG",,0.000284,0,2
431,"NAKAO, K",,0.011316,0,12
432,"GOUDA, N",,0.011993,0,10
433,"CHIBA, T",,0.013058,0,15
434,"IKEUCHI, S",,0.012521,0,15
435,"NAKAMURA, T",,0.678129,1,188
436,"SHIBATA, M",,0.014353,0,13
437,"KOMBERG, BV",,0.002479,0,6
438,"KRAVTSOV, AV",,0.00887,0,22
439,"LUKASH, VN",,0.002607,0,10
440,"WANG, B",,0,0,0
441,"HOLLAND, S",,0.024196,0,22
442,"FAHLMAN, GG",,0.022163,0,30
443,"RICHER, HB",,0.023876,0,33
444,"VADAS, SL",,0,0,0
445,"CLARKE, CJ",,0.003838,0,14
446,"ARMITAGE, PJ",,0.006275,0,12
447,"SMITH, KW",,0.002768,0,9
448,"PRINGLE, JE",,0.015587,0,17
449,"NOLTHENIUS, R",,0.005725,0,9
450,"PRIMACK, J",,0.003659,0,9
451,"REISENEGGER, A",,0.001565,0,4
452,"MIRALDAESCUDE, J",,0.026924,0,36
453,"REZZOLLA, L",,0.002572,0,8
454,"MILLER, JC",,0.006986,0,9
455,"TREMAINE, S",,0.030151,0,38
456,"TORRES, S",,0.007814,0,22
457,"CAYON, L",,0.007331,0,17
458,"MARTINEZGONZALEZ, E",,0.069565,0,43
459,"SANZ, JL",,0.011793,0,27
460,"TOSI, M",,0.00998,0,27
461,"A, MTG",,0.000135,0,1
462,"E, SJ",,0.000135,0,1
463,"MERRIFIELD, MR",,0.032103,0,32
464,"KUIJKEN, K",,0.01061,0,14
465,"IVEZIC, Z",,0.024663,0,43
466,"ELITZUR, M",,0.002547,0,10
467,"HOOK, IM",,0.169969,0,81
468,"MCMAHON, RG",,0.252338,0,193
469,"PATNAIK, AR",,0.028298,0,34
470,"BROWNE, IWA",,0.044491,0,50
471,"WILKINSON, PN",,0.047336,0,55
472,"IRWIN, MJ",,0.087969,0,65
473,"HAZARD, C",,0.016065,0,12
474,"MARTINMIRONES, JM",,0.002489,0,4
475,"GONZALEZSERRANO, JI",,0.01939,0,26
476,"CHRISTODOULOU, DM",,0.001288,0,3
477,"TOHLINE, JE",,0.003151,0,9
478,"KING, RWHDL",,0.001076,0,2
479,"NAIM, A",,0.015811,0,19
480,"LAHAV, O",,0.087016,0,77
481,"BUTA, RJ",,0.014266,0,15
482,"JR, HGC",,0.011544,0,10
483,"VAUCOULEURS, GD",,0.011544,0,10
484,"DRESSLER, A",,0.222743,0,146
485,"HUCHRA, JP",,0.192543,0,147
486,"BERGH, SVD",,0.040459,0,40
487,"RAYCHAUDHURY, S",,0.014995,0,18
488,"JR, LS",,0.018473,0,24
489,"STORRIELOMBARDI, MC",,0.011712,0,11
490,"STRAUSS, MA",,0.048592,0,56
491,"QIAN, Y",,0.000992,0,2
492,"FULLER, GM",,0.006224,0,24
493,"PRIMACK, JR",,0.026791,0,42
494,"RUCINSKI, S",,0.000604,0,2
495,"OBSERVATORY, DD",,0.000146,0,1
496,"CHARLTON, JC",,0.010706,0,25
497,"FRUCHTER, AS",,0.361824,0,144
498,"BOOKBINDER, J",,0.006185,0,2
499,"BAILYN, CD",,0.065196,0,49
500,"MANNHEIM, K",,0.030786,0,36
501,"RUCINSKI, SM",,0.006782,0,12
502,"LAIX, AAD",,0.001736,0,7
503,"SCHERRER, RJ",,0.006382,0,21
504,"SCHAEFER, RK",,0.005277,0,17
505,"S, AG",,0.000443,0,3
506,"MARTINEZ, O",,0.000443,0,3
507,"ASTROFISICA, IND",,0.000443,0,3
508,"ELECT, OY",,0.000443,0,3
509,"BERNARDEAU, F",,0.014563,0,29
510,"MESZAROS, P",,0.014634,0,19
511,"PERSIC, M",,0.049244,0,30
512,"SALUCCI, P",,0.057918,0,41
513,"WHITE, DA",,0.011406,0,12
514,"VAUTERIN, P",,0.000728,0,3
515,"DEJONGHE, H",,0.003917,0,18
516,"GLAZEBROOK, K",,0.172641,0,104
517,"PEACOCK, JA",,0.089403,0,73
518,"MILLER, L",,0.038712,0,36
519,"LUPPINO, GA",,0.036155,0,34
520,"GIOIA, IM",,0.044487,0,42
521,"KAUFFMANN, G",,0.00824,0,19
522,"KOOIMAN, BL",,0.000743,0,2
523,"BURNS, JO",,0.013692,0,28
524,"KLYPIN, AA",,0.007517,0,16
525,"SPRUIT, HC",,0.008562,0,10
526,"PAN, HC",,0.001246,0,3
527,"SKINNER, GK",,0.013391,0,18
528,"SUNYAEV, RA",,0.025592,0,46
529,"BOROZDIN, KN",,0.002635,0,8
530,"PETITJEAN, P",,0.027344,0,41
531,"MUCKET, JP",,0.002999,0,9
532,"KATES, R",,0.004153,0,9
533,"FISHER, K",,0.010324,0,7
534,"HUCHRA, J",,0.291148,0,144
535,"STRAUSS, M",,0.011851,0,17
536,"YAHIL, A",,0.070844,0,67
537,"SCHLEGEL, D",,0.021889,0,16
538,"ANSARI, R",,0.048334,0,57
539,"AURIERE, M",,0.010985,0,18
540,"BAILLON, P",,0.010642,0,16
541,"BOUQUET, A",,0.010642,0,16
542,"COUPINOT, G",,0.010642,0,16
543,"BALLAND, C",,0.003356,0,4
544,"BLANCHARD, A",,0.0941,0,70
545,"WYBO, M",,0.000257,0,1
546,"HEGGIE, DC",,0.00295,0,10
547,"LOMBARDI, JC",,0.002472,0,5
548,"SHAPIRO, SL",,0.007432,0,25
549,"BERGER, J",,0,0,0
550,"FINN, LS",,0.000283,0,2
551,"CLEMENT, G",,0,0,0
552,"KANAYA, K",,0.00272,0,4
553,"BILENKY, SM",,0.000634,0,4
554,"GIUNTI, C",,0.000661,0,4
555,"HALZEN, F",,0.004048,0,19
556,"KESZTHELYI, B",,0.000799,0,4
557,"ZAS, E",,0.003332,0,12
558,"FARRAR, G",,0,0,0
559,"OLIVE, KA",,0.010993,0,37
560,"STEWART, ED",,0.004379,0,7
561,"VEGA, HJD",,0.003567,0,18
562,"MITTELBRUNN, JR",,0.000405,0,2
563,"MEDRANO, MR",,0.000598,0,3
564,"KALLOSH, R",,0.001183,0,5
565,"LINDE, A",,0.007942,0,23
566,"LINDE, D",,0.000797,0,4
567,"SUSSKIND, L",,0.000658,0,3
568,"PRAKASH, M",,0.002518,0,14
569,"TATSUMI, T",,0.000729,0,4
570,"GAI, M",,0.046508,0,69
571,"GOLDWIRTH, DS",,0.001104,0,2
572,"COSTA, LND",,0.037897,0,54
573,"WEYGAERT, RVD",,0.00374,0,8
574,"KAPER, L",,0.035416,0,21
575,"LAMERS, HJGLM",,0.011236,0,22
576,"RUYMAEKERS, E",,0.001613,0,4
577,"HEUVEL, EPJVD",,0.0056,0,16
578,"ZUIDERWIJK, EJ",,0.014284,0,8
579,"GOTTLOEBER, S",,0.017445,0,32
580,"MOLARO, P",,0.016582,0,26
581,"LEIBUNDGUT, B",,0.456919,0,152
582,"DEZOTTI, G",,0.004993,0,4
583,"MAZZEI, P",,0.03507,0,37
584,"GRANATO, L",,0.004993,0,4
585,"J, M",,0.009018,0,24
586,"S, V",,0.000666,0,3
587,"R, T",,0.000666,0,3
588,"B, P",,0.000797,0,4
589,"BARTLETT, RE",,0.000381,0,1
590,"VILLUMSEN, JV",,0.023532,0,34
591,"ASCHENBACH, B",,0.030697,0,42
592,"BOEHRINGER, DMNH",,0,0,0
593,"SIGL, G",,0.010858,0,22
594,"JANKA, HT",,0.005041,0,20
595,"MUELLER, E",,0.005394,0,18
596,"BROWN, AGA",,0.00889,0,24
597,"HARTMANN, D",,0.231854,0,115
598,"BURTON, WB",,0.014838,0,22
599,"TURNER, MS",,0.022709,0,53
600,"MULLER, V",,0.011678,0,28
601,"BORRA, EF",,0.002169,0,13
602,"E, ECA",,0.016489,0,27
603,"P, B",,0.02315,0,40
604,"S, B",,0.025335,0,49
605,"M, G",,0.022395,0,36
606,"M, L",,0.021793,0,33
607,"B, L",,0.021793,0,33
608,"E, L",,0.021793,0,33
609,"C, M",,0.022367,0,36
610,"A, M",,0.02193,0,34
611,"L, M",,0.021793,0,33
612,"F, Q",,0.021793,0,33
613,"J, R",,0.021793,0,33
614,"M, S",,0.026098,0,48
615,"L, V",,0.021793,0,33
616,"S, Z",,0.026098,0,48
617,"R, A",,0.021793,0,33
618,"F, C",,0.02305,0,40
619,"M, M",,0.021793,0,33
620,"P, BJ",,0.017664,0,33
621,"R, F",,0.028144,0,38
622,"PH, G",,0.016489,0,27
623,"A, V",,0.021793,0,33
624,"E, M",,0.022753,0,38
625,"L, P",,0.021975,0,34
626,"C, G",,0.021793,0,33
627,"J, G",,0.023538,0,42
628,"O, M",,0.021793,0,33
629,"F, T",,0.021793,0,33
630,"VELAZQUEZ, H",,0.001558,0,1
631,"SMETTE, A",,0.087623,0,50
632,"SANTOSLLEO, M",,0.00707,0,8
